surl,,sname,map_x,map_y,map_info,en_sname,alias,address,pic_url,full_url
taoranting,陶然亭,12956418.69,4820899.46,116.38822296826,39.880235048124,null,陶然亭公园,北京市宣武区太平街19号（陶然亭公园内）,aa251d4fdf47cd6eaec3ab35,http://h.hiphotos.baidu.com/lvpics/w%3D300/sign=e683ad52304e251fe2f7e2f89787c9c2/aa251d4fdf47cd6eaec3ab35.jpg
beijingheilongtan,黑龙潭,13002899.65,4920919.22,116.80576399303,40.568958978225,null,null,密云县石城镇鹿皮关北面,cb8065380cd79123352166c1ac345982b3b78046,http://c.hiphotos.baidu.com/lvpics/w%3D300/sign=32ae5fa7730e0cf3a0f748fb3a47f23d/cb8065380cd79123352166c1ac345982b3b78046.jpg
kangxicaoyuan,康西草原,12897261.43,4897095.46,115.85681004213,40.405552003165,null,null,京郊延庆县康庄镇西侧,e49cf9115a91ddaba6ef3f49,http://c.hiphotos.baidu.com/lvpics/w%3D300/sign=a11ea75e8744ebf86d71623fe9f8d736/e49cf9115a91ddaba6ef3f49.jpg
jinshanlingchangcheng,金山岭长城,13052589.43,4938992.81,117.25213002467,40.692658006901,null,null,河北省滦平县与北京市密云县交界处,6c63514a9fec204f09f7ef92,http://h.hiphotos.baidu.com/lvpics/w%3D300/sign=108b1f5d0a55b3199cf9847573a88286/6c63514a9fec204f09f7ef92.jpg
baihuashan,百花山,12867297.68,4815619.67,115.58764402489,39.843683077494,null,百花山风景区,北京市 门头沟区清水镇,6a63f6246b600c339f11db871b4c510fd9f9a110,http://a.hiphotos.baidu.com/lvpics/w%3D300/sign=a0cc997e4d086e066aa8394b32097b5a/6a63f6246b600c339f11db871b4c510fd9f9a110.jpg
yandaixiejie,烟袋斜街,12957738.734417,4830359.5423259,116.400081,39.945678,null,null,北京市西城区地安门外大街,38403f3f914d3bb454e723b8,http://b.hiphotos.baidu.com/lvpics/w%3D300/sign=20b4d00a9822720e7bcee4fa4bca0a3a/38403f3f914d3bb454e723b8.jpg
shijiehuahuidaguanyuan,世界花卉大观园,12953255.63,4815336.93,116.359809026,39.841725115667,null,null,北京丰台区南四环中路235号,d0c8a786c9177f3e3d9fab4b70cf3bc79e3d56c8,http://c.hiphotos.baidu.com/lvpics/w%3D300/sign=a76ccd27f3deb48ffb69a7dec01e3aef/d0c8a786c9177f3e3d9fab4b70cf3bc79e3d56c8.jpg
zhongyangdianshitai,中央电视台,12965624.36,4826790,116.4709180091,39.920992073009,null,null,北京市朝阳区东三环中路32号,10dfa9ec8a136327515100ca908fa0ec09fac78f,http://d.hiphotos.baidu.com/lvpics/w%3D300/sign=702875efcefc1e17fdbf8a317a91f67c/10dfa9ec8a136327515100ca908fa0ec09fac78f.jpg
zizhuyuan,紫竹院,12949348.38,4830754.66,116.32470998396,39.948410051182,null,紫竹院公园,北京市海淀区中关村南大街35号,d57e9994d9a24246d21b709d,http://f.hiphotos.baidu.com/lvpics/w%3D300/sign=809a9009f3deb48ffb69a7dec01e3aef/d57e9994d9a24246d21b709d.jpg
renminyingxiongjinianbei,人民英雄纪念碑,12958183.43,4825331.4111825,116.40407572492,39.910902202107,null,null,北京市 东城区天安门广场上,cc506c8b30db824ac9fc7a00,http://h.hiphotos.baidu.com/lvpics/w%3D300/sign=3809ee3a8535e5dd902ca3df46c7a7f5/cc506c8b30db824ac9fc7a00.jpg
dajuesi,大觉寺,12925812.3,4846682.1093814,116.11328408049,40.058446148325,null,西山大觉寺，大觉禅寺，清水院，灵泉寺,北京市海淀区北安河乡西山大觉寺路9号,0df431adcbef760981a6065d2edda3cc7dd99e47,http://c.hiphotos.baidu.com/lvpics/w%3D300/sign=3cb4c1920c3387449cc5297c610ed937/0df431adcbef760981a6065d2edda3cc7dd99e47.jpg
miyunshuiku,密云水库,13010872.55,4915056.96,116.87738499304,40.528786981762,null,null,密云县城北13公里处,b812c8fcc3cec3fd5dc1b8ded688d43f86942799,http://b.hiphotos.baidu.com/lvpics/w%3D300/sign=2c73e18849540923aa69657ea259d1dc/b812c8fcc3cec3fd5dc1b8ded688d43f86942799.jpg
huairouqinglongxia,青龙峡,12990531.92,4904955.61,116.69466399299,40.459509028867,null,null,北京市怀柔区怀北镇的古长城关口大水峪关附近,d048addec646e900cdbf1a39,http://c.hiphotos.baidu.com/lvpics/w%3D300/sign=c9d78826ca8065387beaa213a7dca115/d048addec646e900cdbf1a39.jpg
shihuadong,石花洞,12907961.46,4809588.33,115.95292900119,39.801904115098,null,null,房山区河北镇南车营村,7ac880512960a44943a75be5,http://g.hiphotos.baidu.com/lvpics/w%3D300/sign=b48b7a64b3de9c82a665ff8f5c8080d2/7ac880512960a44943a75be5.jpg
zhongguodianyingbowuguan,中国电影博物馆,12971900,4838600,116.52729242901,40.002632600798,null,null,北京市朝阳区南影路9号,6a22e82498054c6b8744f99b,http://d.hiphotos.baidu.com/lvpics/w%3D300/sign=80e8e92f3912b31bc76ccb29b6193674/6a22e82498054c6b8744f99b.jpg
beijingkongmiao,孔庙,12960068,4831432,116.42100492107,39.953093152121,null,null,北京市东城区国子监街13号,4075890a538c1b4794ca6b3f,http://d.hiphotos.baidu.com/lvpics/w%3D300/sign=15cb756eacaf2eddd4f14fe9bd110102/4075890a538c1b4794ca6b3f.jpg
shisanlingshuiku,十三陵水库,12942984.51,4876746.76,116.2675429891,40.265663046808,null,null,,b219ebc4b74543a9ba8609871e178a82b80114df,http://a.hiphotos.baidu.com/lvpics/w%3D300/sign=9c62bb65d21b0ef46ce89e5eedc551a1/b219ebc4b74543a9ba8609871e178a82b80114df.jpg
lingshuicun,灵水村,12884735.17,4839596.98,115.74428595836,40.009520056634,Lingshuicun,null,北京市门头沟区斋堂镇军响乡,35da1d3b0aaf39b215cecbd0,http://b.hiphotos.baidu.com/lvpics/w%3D300/sign=f091778e277f9e2f70351b082f30e962/35da1d3b0aaf39b215cecbd0.jpg
zhongguodizhibowuguan,中国地质博物馆,12955363.25,4828060.62,116.37874189259,39.929780370366,null,null,北京市西城区西四羊肉胡同15号,61183b2d2917686c349bf7b3,http://f.hiphotos.baidu.com/lvpics/w%3D300/sign=d34ecb8cb31c8701d6b6b4e6177e9e6e/61183b2d2917686c349bf7b3.jpg
wukesongtiyuguan,五棵松体育馆,12945152.7,4826282.57,116.28701995934,39.917482094068,null,null,null,4bac3073930457778601b019,http://a.hiphotos.baidu.com/lvpics/w%3D300/sign=ccef63ffa4c27d1ea5263dc42bd4adaf/4bac3073930457778601b019.jpg
fangshan,房山,12929862.472142,4802704.9906413,116.149667,39.754192,Fangshan,null,北京市房山区,476217f733311d4c730eec77,http://d.hiphotos.baidu.com/lvpics/w%3D300/sign=107a6eaab74543a9f51bfccc2e168a7b/476217f733311d4c730eec77.jpg
ritan,日坛,12963300.98,4827045.46,116.45004695855,39.922759064308,null,null,北京市 朝阳区日坛北路6号,30ecd5ef5f2a7d6eacafd5d8,http://b.hiphotos.baidu.com/lvpics/w%3D300/sign=0fb46fb63d6d55fbc5c670265d224f40/30ecd5ef5f2a7d6eacafd5d8.jpg
wofosi,卧佛寺,12937168.34,4840005.65,116.21529601352,40.012343076948,null,北京卧佛寺,北京市海淀区卧佛寺路,d041a4a1cb62d8e646106445,http://g.hiphotos.baidu.com/lvpics/w%3D300/sign=bf4b313d4fc2d562f208d6edd71090f3/d041a4a1cb62d8e646106445.jpg
laosheguju,老舍故居,12959372.37,4827359.48,116.41475603845,39.924931046301,null,老舍纪念馆,东城区灯市口西街丰富胡同19号,6a600c338744ebf850485073d9f9d72a6059a744,http://c.hiphotos.baidu.com/lvpics/w%3D300/sign=060c6f7a1d950a7b753548c43ad1625c/6a600c338744ebf850485073d9f9d72a6059a744.jpg
yunjusi,云居寺,12889269.27,4782505.88,115.78501602849,39.613989066449,null,房山云居寺,北京市房山区白带山下,7aad4ae7f74e8443b838202a,http://b.hiphotos.baidu.com/lvpics/w%3D300/sign=b391a79ed7ca7bcb7d7bc12f8e086b3f/7aad4ae7f74e8443b838202a.jpg
xianqidong,仙栖洞,12886414.78,4789783.74,115.75937398753,39.664538119634,null,仙栖洞景区,北京市房山区张坊镇,ea85a9453f99ef71cffca3ad,http://e.hiphotos.baidu.com/lvpics/w%3D300/sign=030e0a5ec93d70cf4cfaac0dc8dcd1ba/ea85a9453f99ef71cffca3ad.jpg
badalingsenlingongyuan,八达岭森林公园,12916199.9,4889556.4050265,116.02693536165,40.353758149165,null,北京八达岭国家森林公园,八达岭森林公安派出所南,72ccb777afccee77b151b9e8,http://g.hiphotos.baidu.com/lvpics/w%3D300/sign=e4551a7cb912c8fcb4f3f0cdcc0292b4/72ccb777afccee77b151b9e8.jpg
nanshanhuaxuechang,南山滑雪场,13009900,4887520,116.8686485228,40.339761059228,null,null,北京市密云区河南寨镇圣水头村,6c224f4a20a44623846a3ea39822720e0df3d74b,http://f.hiphotos.baidu.com/lvpics/w%3D300/sign=5729e41c2e738bd4c421b431918a876c/6c224f4a20a44623846a3ea39822720e0df3d74b.jpg
haidiangongyuan,海淀公园,12946788.6,4837224.6102134,116.30171533918,39.993129749299,null,北京海淀公园,海淀区万柳路,cdbf6c81800a19d82267bf4e33fa828ba61e4610,http://g.hiphotos.baidu.com/lvpics/w%3D300/sign=e5b55a9c36d12f2ece05a8607fc3d5ff/cdbf6c81800a19d82267bf4e33fa828ba61e4610.jpg
qinglianggu,清凉谷,12997732.2,4931108.2,116.75934450496,40.638722660687,null,null,密云县石城镇四合堂地区,7e3e6709c93d70cf38c62db6f2dcd100baa12b48,http://d.hiphotos.baidu.com/lvpics/w%3D300/sign=b78e3edf9eeef01f4d141ec5d0fe99e0/7e3e6709c93d70cf38c62db6f2dcd100baa12b48.jpg
beijingluxunguju,鲁迅故居,12953855.868331,4828276.0192509,116.365201,39.93127,null,北京鲁迅故居,北京市西城区阜成门内宫门口二条19号,aa64034f78f0f7365ccf79e70e55b319ebc41326,http://d.hiphotos.baidu.com/lvpics/w%3D300/sign=30c2c32bf8039245a1b5e70fb795a4a8/aa64034f78f0f7365ccf79e70e55b319ebc41326.jpg
yongdingmen,永定门,12956657.03,4820178.94,116.39036398962,39.87524804676,null,null,,a992e31feef66752314e1538,http://h.hiphotos.baidu.com/lvpics/w%3D300/sign=9e6f3bb776094b36db921ded93cd7c00/a992e31feef66752314e1538.jpg
huanleshuimofang,欢乐水魔方,12941715,4822145,116.25613891082,39.888855056557,null,北京欢乐水魔方,北京市丰台区小屯路,aa18972bd40735faf453b4239f510fb30e24088c,http://c.hiphotos.baidu.com/lvpics/w%3D300/sign=8594ffe4241f95caa6f594b6f9167fc5/aa18972bd40735faf453b4239f510fb30e24088c.jpg
fayuansi,法源寺,12955111.9,4822383.3114089,116.37648400169,39.890504134823,null,中国佛教图书文物馆,北京市 宣武区教子胡同南端法源寺前街,32bb9c8bc729938bfd1f10b4,http://b.hiphotos.baidu.com/lvpics/w%3D300/sign=d380ebfa0cf431adbcd245397b36ac0f/32bb9c8bc729938bfd1f10b4.jpg
xidandayuecheng,西单大悦城,12955386.19,4826289.07,116.37894796387,39.917527056812,null,null,,503d269759ee3d6d8e15ea3642166d224e4ade78,http://d.hiphotos.baidu.com/lvpics/w%3D300/sign=729961dfb21bb0518f24b5280678da77/503d269759ee3d6d8e15ea3642166d224e4ade78.jpg
landiaozhuangyuan,蓝调庄园,12980950,4833974,116.60858907766,39.97066555323,null,北京蓝调庄园,北京市朝阳区金盏乡楼梓庄蓝调庄园,cb8065380cd791239e55c1c1ac345982b3b780c9,http://b.hiphotos.baidu.com/lvpics/w%3D300/sign=99daf8a7730e0cf3a0f748fb3a47f23d/cb8065380cd791239e55c1c1ac345982b3b780c9.jpg
xidan,西单,12955433.94,4826160.19,116.37937690475,39.916635543814,null,null,北京市西城区,ae826731a3668f41ebc4afa9,http://b.hiphotos.baidu.com/lvpics/w%3D300/sign=3cf9ed90a786c91708035439f93d70c6/ae826731a3668f41ebc4afa9.jpg
dongfangpuluowangsixunyicaozhuangyuan,东方普罗旺斯薰衣草庄园,12983116.88,4888454.04,116.6280542801,40.346181498244,null,null,北京市怀柔区青春路北环岛向西500米,738b4710b912c8fc3e9e0839fd039245d78821d1,http://f.hiphotos.baidu.com/lvpics/w%3D300/sign=c9f8951b8cb1cb133e693a13ed5556da/738b4710b912c8fc3e9e0839fd039245d78821d1.jpg
miaofengshan,妙峰山,12917341.7,4848933.4,116.03719221396,40.073985028202,null,妙峰山风景名胜区,北京 门头沟区妙峰山镇,c83d70cf3bc79f3d9dee8d9ebaa1cd11728b2914,http://f.hiphotos.baidu.com/lvpics/w%3D300/sign=f1dcac813a292df597c3aa158c305ce2/c83d70cf3bc79f3d9dee8d9ebaa1cd11728b2914.jpg
guijie,簋街,12962146.24,4830531.5,116.4396738655,39.946867061329,null,null,北京市东城区东直门簋街,8474fbdd790a468476c638ac,http://g.hiphotos.baidu.com/lvpics/w%3D300/sign=683fbd0b0c3387449cc5297c610fd937/8474fbdd790a468476c638ac.jpg
zhongyangdianshita,中央电视塔,12948018.99,4827437.41,116.31276800034,39.925470053941,Beijing Tower（Central TV Tower）,中央广播电视塔,北京海淀区西三环中路11号,a5c27d1ed21b0ef4f9df5f9eddc451da81cb3e3f,http://c.hiphotos.baidu.com/lvpics/w%3D300/sign=7e8823a8ccbf6c81f7372ae88c3fb1d7/a5c27d1ed21b0ef4f9df5f9eddc451da81cb3e3f.jpg
badahutong,八大胡同,12957695.99,4823598.81,116.39969702454,39.898915057417,null,null,前门外大栅栏观音寺以西，西珠市口大街以北、铁树斜街以南,6dc09e0aa9995b55b1351d8a,http://a.hiphotos.baidu.com/lvpics/w%3D300/sign=216270b6a144ad342ebf8187e0a30c08/6dc09e0aa9995b55b1351d8a.jpg
juyongguanchangcheng,居庸关长城,12922299.9,4881080.18,116.08173199776,40.295478023995,null,null,北京市昌平区南口镇,7748553689dd1285a2cc2b6f,http://f.hiphotos.baidu.com/lvpics/w%3D300/sign=181f69a3b2fb43161a1f7c7a10a54642/7748553689dd1285a2cc2b6f.jpg
beijingzhiwuyuan,北京植物园,12937281.77,4839468.44,116.21631496146,40.008632100646,null,null,海淀区香山卧佛寺路,8b527d27b929cb5b908f9df7,http://d.hiphotos.baidu.com/lvpics/w%3D300/sign=136ced1bad4bd11304cdb1326aaea488/8b527d27b929cb5b908f9df7.jpg
yunmengshan,云蒙山,12989789.079999,4919662.3315419,116.68799102033,40.560348000535,null,云蒙山国家森林公园，云梦山,北京市怀柔区琉璃庙镇后山铺村,64380cd7912397ddccc053c45982b2b7d1a287b1,http://f.hiphotos.baidu.com/lvpics/w%3D300/sign=f5a68cfe0cf3d7ca0cf63976c21ebe3c/64380cd7912397ddccc053c45982b2b7d1a287b1.jpg
shimaotianjie,世贸天阶,12964240.42,4826933.27,116.45848599983,39.921983062946,null,null,,314e251f95cad1c82e90e6da7e3e6709c93d5127,http://b.hiphotos.baidu.com/lvpics/w%3D300/sign=2ef9e1d69c16fdfad86cc0ee848e8cea/314e251f95cad1c82e90e6da7e3e6709c93d5127.jpg
gubeishuizhen,古北水镇,13054281.000001,4932891.4999446,117.26732549119,40.650925322943,GUBEI,密云古北水镇,北京市密云县古北口镇,b999a9014c086e065856d23500087bf40bd1cbd6,http://f.hiphotos.baidu.com/lvpics/w%3D300/sign=0e3823a3a964034f0fcdc4069fc27980/b999a9014c086e065856d23500087bf40bd1cbd6.jpg
beijingziranbowuguan,北京自然博物馆,12958447.29,4822253.96,116.40644599384,39.889609084045,null,null,北京市天桥南路126号,5882b2b7d0a20cf4f268651776094b36adaf997a,http://d.hiphotos.baidu.com/lvpics/w%3D300/sign=31da10f16b63f6241c5d3f03b746eb32/5882b2b7d0a20cf4f268651776094b36adaf997a.jpg
